"unitid","instnm","stabbr","md_earn_wne_p10","ugds","tuitionfee_in","control","year"
110404,"California Institute of Technology","CA",128566,1023,63255,2,"latest"
110635,"University of California-Berkeley","CA",92446,33073,14850,1,"latest"
130794,"Yale University","CT",100533,6811,64700,2,"latest"
144050,"University of Chicago","IL",91885,7540,66939,2,"latest"
166027,"Harvard University","MA",101817,7755,59076,2,"latest"
166683,"Massachusetts Institute of Technology","MA",143372,4571,60156,2,"latest"
186131,"Princeton University","NJ",110066,5579,59710,2,"latest"
190415,"Cornell University","NY",104043,15935,66014,2,"latest"
215062,"University of Pennsylvania","PA",111371,10768,66104,2,"latest"
243744,"Stanford University","CA",124080,7841,62484,2,"latest"
NA,"University of California-Los Angeles",NA,82511,33040,13747,1,"latest"
